id	syndrome	syndrome_id	livre	chapitre	organe_llm	attribution	signe	verbatim	cand1	cand2	cand3	choix
1395	13.14 Geleophysic Dysplasia (MIM 231050)		genereviews	geleophys-dysp	skin, liver, trachea, and heart	direct	lysosomal-like PAS-positive vacuoles	Histologic examination of skin, liver, trachea, and heart shows lysosomal-like PAS-positive vacuoles				NOUVEAU
1396	13.14 Geleophysic Dysplasia (MIM 231050)		genereviews	geleophys-dysp	cardiac mitral valve	direct	collagen accumulation responsible for severe fibrosis	histopathologic analysis of cardiac mitral valve revealed collagen accumulation responsible for severe fibrosis				NOUVEAU
1478	13.15 Acromicric Dysplasia (MIM 102370)	ORPHA:969	genereviews	geleophys-dysp	skin, liver, trachea, and heart	direct	lysosomal-like PAS-positive vacuoles	Histologic examination of skin, liver, trachea, and heart shows lysosomal-like PAS-positive vacuoles				NOUVEAU
1479	13.15 Acromicric Dysplasia (MIM 102370)	ORPHA:969	genereviews	geleophys-dysp	cardiac mitral valve	direct	collagen accumulation responsible for severe fibrosis	histopathologic analysis of cardiac mitral valve revealed collagen accumulation responsible for severe fibrosis				NOUVEAU
1433	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	cutis-laxa	skin	direct	rarefaction and fragmentation of the elastin network	Electron microscopy (EM) shows rarefaction and fragmentation of the elastin network in which elastic fibers are small and misshapen.				FOETO:PF.MUL-MET-023
1434	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	cutis-laxa	skin	direct	elastic fibers are small and misshapen	Electron microscopy (EM) shows rarefaction and fragmentation of the elastin network in which elastic fibers are small and misshapen.				FOETO:PF.MUL-MET-023
1435	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	cutis-laxa	skin	direct	elastin and elastofibrils can be distinguished based on their different densities	Within these fibers both elastin and elastofibrils can be distinguished based on their different densities [Beyens et al 2019b].				NON
1436	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	eln-cutis-laxa	skin	direct	abnormal elastic fibers that appear as amorphic clumps without parallel directionality to the microfibrils	electron microscopy of skin biopsies shows abnormal elastic fibers that appear as amorphic clumps without parallel directionality to the microfibrils	FOETO:PF.MUL-MET-023 | Anomalie de la structure des fibres élastiques cutanées | multi_organe | 0.52			FOETO:PF.MUL-MET-023
1438	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	ltbp4-cutis-laxa	skin	direct	fragmented and weakly stained dermal elastic fibers with less defined edges	Light microscopy shows fragmented and weakly stained dermal elastic fibers with less defined edges compared to controls.	FOETO:PF.PEA-NOR-012 | Fibres élastiques dermiques immatures | peau | 0.6	FOETO:PF.PEA-MAL-035 | Fibres élastiques dermiques épaissies et irrégulières | peau | 0.54		FOETO:PF.MUL-MET-023
1439	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	ltbp4-cutis-laxa	skin	direct	fine candelabra-like fibers in the upper dermis are missing	In addition, the fine candelabra-like fibers in the upper dermis are missing.				NOUVEAU
1440	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	ltbp4-cutis-laxa	skin	direct	very small amounts of elastin within the microfibrillar network	Electron microscopy shows elastic fiber anomalies specific for this type of cutis laxa: very small amounts of elastin within the microfibrillar network	FOETO:PF.MUL-MET-078 | Cutis laxa | multi_organe | 0.8			FOETO:PF.MUL-MET-023
1441	14.14 Geroderma Osteodysplasticum (MIM 231070)		genereviews	ltbp4-cutis-laxa	skin	direct	large globular elastin deposits that are separate from the microfibrillar bundles	and large globular elastin deposits that are separate from the microfibrillar bundles.				NOUVEAU
1078	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	hypercellular bony trabeculae	Osteogenesis imperfecta 2A (fractures in long bones and ribs) (hypercellularbony trabeculae)				NOUVEAU
1079	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	small islands of metaplastic cartilage in the metaphysis	Small islands of metaplastic cartilage (arrow) can be found in the metaphysis.				NOUVEAU
1080	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	highly cellular and thin bony trabeculae	The bony trabeculae are highly cellular and thin and the marrow between the bony trabeculae is focally fibrotic				NOUVEAU
1081	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	focally fibrotic marrow	The bony trabeculae are highly cellular and thin and the marrow between the bony trabeculae is focally fibrotic				NOUVEAU
1082	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	reduced volume of primary and secondary trabeculae and cortical bone	the primary and secondary (osseous) trabeculae and the cortical bone are reduced in volume with thin osseous seams	FOETO:PF.SQU-MAL-074 | Travées d'os primaire grêles | squelette | 0.7	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6		FOETO:PF.SQU-MAL-074
1083	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	thin osseous seams at the zone of chondro-osseous transformation	the primary and secondary (osseous) trabeculae and the cortical bone are reduced in volume with thin osseous seams at the zone of chondro-osseous transformation	FOETO:PF.SQU-MAL-074 | Travées d'os primaire grêles | squelette | 0.7	FOETO:PF.MUL-MET-123 | Désorganisation chondro-osseuse | multi_organe | 0.6	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.47	FOETO:PF.SQU-MAL-074
1084	14.2 Osteogenesis Imperfecta, Type I (MIM 116200)		keeling	ch32_skeletal_system	bone	direct	small islands of metaplastic cartilage in the center of the bone	Very frequently in the center of the bone, small islands of metaplastic cartilage can be found in all type 2 cases				NOUVEAU
1269	14.4 Osteogenesis Imperfecta, Type IIC		genereviews	oi	bone	direct	marked reduction in collagen in secondary trabeculae and cortical bone	Histologic evaluation of bone from infants with perinatally lethal OI shows marked reduction in collagen in secondary trabeculae and cortical bone	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6			NOUVEAU
1270	14.4 Osteogenesis Imperfecta, Type IIC		genereviews	oi	cortical bone	direct	Cortical bone is hypercellular with large osteocytes	Cortical bone is hypercellular with large osteocytes				NOUVEAU
1271	14.4 Osteogenesis Imperfecta, Type IIC		genereviews	oi	trabeculae	direct	Trabeculae contain woven bone with large immature osteoblasts	Trabeculae contain woven bone with large immature osteoblasts	FOETO:PF.SQU-NOR-013 | Os tissé (woven bone) | squelette | 0.6	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6		FOETO:PF.SQU-NOR-013
102	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	hypercellular bony trabeculae	Osteogenesis imperfecta 2A (fractures in long bones and ribs) (hypercellularbony trabeculae)				NOUVEAU
103	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	sharp regular demarcation between cartilage and primary spongiosa	Histology of the epiphysis shows a sharp regular demarcation between cartilage and primary spongiosa				NON
104	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	small islands of metaplastic cartilage in the metaphysis	Small islands of metaplastic cartilage (arrow) can be found in the metaphysis				NOUVEAU
105	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	bony trabeculae are highly cellular and thin	The bony trabeculae are highly cellular and thin and the marrow between the bony trabeculae is focally fibrotic				NOUVEAU
106	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	marrow between the bony trabeculae is focally fibrotic	The bony trabeculae are highly cellular and thin and the marrow between the bony trabeculae is focally fibrotic				NOUVEAU
107	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	primary and secondary osseous trabeculae and the cortical bone are reduced in volume	the primary and secondary (osseous) trabeculae and the cortical bone are reduced in volume with thin osseous seams	FOETO:PF.SQU-MAL-074 | Travées d'os primaire grêles | squelette | 0.7	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6		FOETO:PF.SQU-MAL-074
108	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	thin osseous seams at the zone of chondro-osseous transformation	the primary and secondary (osseous) trabeculae and the cortical bone are reduced in volume with thin osseous seams at the zone of chondro-osseous transformation	FOETO:PF.SQU-MAL-074 | Travées d'os primaire grêles | squelette | 0.7	FOETO:PF.MUL-MET-123 | Désorganisation chondro-osseuse | multi_organe | 0.6	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.47	FOETO:PF.SQU-MAL-074
109	14.4 Osteogenesis Imperfecta, Type IIC		keeling	ch32_skeletal_system	bone	direct	small islands of metaplastic cartilage in the center of the bone	Very frequently in the center of the bone, small islands of metaplastic cartilage can be found in all type 2 cases				NOUVEAU
1474	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		genereviews	oi	bone	direct	marked reduction in collagen in secondary trabeculae and cortical bone	Histologic evaluation of bone from infants with perinatally lethal OI shows marked reduction in collagen in secondary trabeculae and cortical bone	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6			NOUVEAU
1475	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		genereviews	oi	bone	direct	cortical bone is hypercellular with large osteocytes	Cortical bone is hypercellular with large osteocytes				NOUVEAU
1476	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		genereviews	oi	bone	direct	trabeculae contain woven bone with large immature osteoblasts	Trabeculae contain woven bone with large immature osteoblasts	FOETO:PF.SQU-NOR-013 | Os tissé (woven bone) | squelette | 0.6	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6		FOETO:PF.SQU-NOR-013
1154	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	bone	direct	hypercellular bony trabeculae	Osteogenesis imperfecta 2A (fractures in long bones and ribs) (hypercellularbony trabeculae)				NOUVEAU
1156	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	growth plate	direct	sharp regular demarcation between cartilage and primary spongiosa	Histology of the epiphysis shows a sharp regular demarcation between cartilage and primary spongiosa				NON
1157	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	metaphysis	direct	small islands of metaplastic cartilage in the metaphysis	Small islands of metaplastic cartilage (arrow) can be found in the metaphysis				NOUVEAU
1158	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	bone	direct	highly cellular and thin bony trabeculae	The bony trabeculae are highly cellular and thin and the marrow between the bony trabeculae is focally fibrotic				NOUVEAU
1159	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	bone marrow	direct	focally fibrotic marrow	The bony trabeculae are highly cellular and thin and the marrow between the bony trabeculae is focally fibrotic				NOUVEAU
1160	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	bone	direct	reduced volume of primary and secondary trabeculae and cortical bone	the primary and secondary (osseous) trabeculae and the cortical bone are reduced in volume with thin osseous seams	FOETO:PF.SQU-MAL-074 | Travées d'os primaire grêles | squelette | 0.7	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.6		FOETO:PF.SQU-MAL-074
1161	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	growth plate	direct	thin osseous seams at the zone of chondro-osseous transformation	the primary and secondary (osseous) trabeculae and the cortical bone are reduced in volume with thin osseous seams at the zone of chondro-osseous transformation	FOETO:PF.SQU-MAL-074 | Travées d'os primaire grêles | squelette | 0.7	FOETO:PF.MUL-MET-123 | Désorganisation chondro-osseuse | multi_organe | 0.6	FOETO:PF.SQU-NOR-021 | Trabécules osseuses médullaires | squelette | 0.47	FOETO:PF.SQU-MAL-074
1162	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)		keeling	ch32_skeletal_system	bone	direct	small islands of metaplastic cartilage in the center of the bone	Very frequently in the center of the bone, small islands of metaplastic cartilage can be found in all type 2 cases				NOUVEAU
1171	14.9 Bruck Syndrome (MIM 259450, 609220, 610968)	ORPHA:2771	spranger_entites	e14_9_b_ruck_s_yndrom_e_mim_259_4_5_0_6_0_9_2_2_0_6_1_0_9_6_8	bone	contexte	distorted lamellar structure and a fish scale-like pattern	They showed histologic features of a distorted lamellar structure and a fish scale-like pattern				NOUVEAU
1461	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)		genereviews	hyper-ftc	bone	direct	reactive new bone surrounded by fibroblastic stroma infiltrated with plasma cells, lymphocytes, and polymorphonuclear cells	Biopsies of hyperostosis lesions demonstrate reactive new bone surrounded by fibroblastic stroma infiltrated with plasma cells, lymphocytes, and polymorphonuclear cells	FOETO:PF.MUL-MET-142 | Hyperostose osseuse diffuse | multi_organe | 0.7			FOETO:PF.MUL-MET-142
1462	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)		genereviews	hyper-ftc	soft tissue	direct	macrophage engulfment of hydroxyapatite crystals	Microscopy of the lesions reveals macrophage engulfment of hydroxyapatite crystals, which probably release inflammatory cytokines				NON
1463	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)		genereviews	hyper-ftc	testis	direct	diffuse intratubular calcifications	A biopsy of one testicle revealed diffuse intratubular calcifications; oligo-azoospermia was noted on spermiogram	FOETO:PP.PAR-MET-004 | Calcifications | parenchyme | 1.0			NOUVEAU
1464	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)		genereviews	rickets-xlh	bone	direct	Periosteocytic (unmineralized) lesions	Periosteocytic (unmineralized) lesions may be observed in genetic disorders involving osteocytes (which express and secrete FGF23), including XLH				NOUVEAU
