referentiel	importance	entite	verdict	verbatim_verifie	terme_existant	label_fr	label_en	lesion	site	qualifieurs	pattern	niveau	criteres	citation	verbatim	raison
AMSTERDAM	moyenne	Microabcès sous-chorionique (critère de sévérité du MIR grade 2)	confirmee	oui		MIR Grade 2 — Microabcès sous-chorionique	Subchorionic microabscess (maternal inflammatory response, grade 2)	Microabcès (collection focale confluente de polynucléaires neutrophiles avec destruction tissulaire)	Fibrine sous-choriale / zone sous-choriale de la plaque choriale	aigu, sévère, grade 2, réponse inflammatoire maternelle	focal à multifocal, sous-chorial	element	Amas focaux confluents de polynucléaires neutrophiles maternels formant de véritables microabcès dans la fibrine sous-choriale / immédiatement sous la plaque choriale, au contact de l'espace intervilleux sous-chorial. Constitue, avec l'infiltrat polynucléaire confluent, le critère de sévérité définissant le grade 2 de la réponse inflammatoire maternelle (quel que soit le stade 1 à 3). À distinguer des microabcès intervillositaires de la placentite hématogène (listériose) et des microabcès sous-amniotiques du cordon (candidose).	amsterdam ch1	Grade 2—severe: confluent polymorphonuclear leukocytes or with subchorionic microabscesses	Le microabcès sous-chorionique est le critère histologique explicite du grade 2 de la réponse inflammatoire maternelle dans le consensus d'Amsterdam ; aucun terme du vocabulaire ne le désigne (les microabcès existants sont intervillositaires/listériens ou sous-amniotiques du cordon, et l'« Abcès décidual » siège dans la décidue).
AMSTERDAM	moyenne	Macrophages spumeux pariétaux / artériopathie déciduale à cellules spumeuses	deja_couverte	oui	Athérose aiguë des artères spiralées									amsterdam ch1	Acute atherosis: there is fibrinoid necrosis with lipid-laden macrophages and a slight perivascular lymphocytic infiltrate	Les macrophages spumeux pariétaux ne constituent pas une entité autonome : ils sont l'élément définitionnel de l'athérose aiguë, décrite explicitement comme la « lésion à cellules spumeuses » des artères spiralées. Le vocabulaire couvre déjà cette lésion (Athérose aiguë des artères spiralées, Athérose aiguë déciduale, Athérose des vaisseaux déciduaux), sous le chapeau Artériopathie déciduale.
AMSTERDAM	moyenne	Déciduite chronique à plasmocytes	deja_couverte	oui	Déciduite chronique									khong2019 ch33	Lymphoplasmacytic deciduitis, Chronic lympho- plasmacytic deciduitis, Chronic deciduitis with  plasma cells, Chronic plasma cell deciduitis,  Chronic lymphocytic deciduitis.	Le chapitre 33 de Khong 2019 liste explicitement « Chronic plasma cell deciduitis » et « Chronic deciduitis with plasma cells » comme de simples SYNONYMES de la déciduite chronique, entité unique dont la définition inclut d'emblée l'infiltrat plasmocytaire ; il ne s'agit pas d'une entité distincte à créer.
AMSTERDAM	moyenne	Cordon grêle (diamètre réduit / hypoplasie du cordon)	confirmee	oui		Cordon ombilical grêle (diamètre réduit)	Thin umbilical cord (reduced cord diameter)	réduction du calibre / hypoplasie	cordon ombilical	macroscopique, diamètre < 10e percentile ou < 8 mm à terme, associé à la malperfusion vasculaire maternelle, associé au RCIU et à la prééclampsie, gelée de Wharton déficiente	diffus sur toute la longueur du cordon (forme segmentaire = coarctation/sténose)	entite	Cordon dont le diamètre est inférieur au 10e percentile pour l'âge gestationnel, ou < 8 mm à terme, apprécié macroscopiquement sur un segment non oedématié ni comprimé ; item retenu avec le poids placentaire < 10e percentile pour définir l'hypoplasie placentaire de la malperfusion vasculaire maternelle. Histologiquement, déficit de gelée de Wharton avec vaisseaux peu protégés, parfois calcifications vasculaires ; à distinguer de la forme localisée par torsion (coarctation / sténose segmentaire) et des anomalies de longueur.	benirschke ch16	In the prototype of an abnormally thin cord, there is a deficiency of Wharton’s jelly, and compression of vessels is a greater possibility than when they are protected.	Le cordon grêle est un descripteur macroscopique quantifiable (diamètre < 10e percentile ou < 8 mm à terme) entrant dans la définition de l'hypoplasie placentaire/MVM ; le vocabulaire ne contient que son substrat histologique (« Déficit en gelée de Wharton ») et les anomalies opposées ou de longueur.
AMSTERDAM	moyenne	Infarctus de siège central (et seuil > 5 % du parenchyme)	rejetee	non	MVM — Infarctus											Les extraits ne documentent ni un « infarctus de siège central » comme entité distincte, ni un seuil quantifié de 5 % du parenchyme ; le seul passage disponible ne fait que dire que l'infarctus périphérique n'est généralement pas significatif à terme. La localisation centrale et l'étendue sont des qualifieurs de significativité de la lésion déjà codée (« MVM — Infarctus », « Infarctus villositaire », « Infarctus marginal »), non une entité nosologique autonome.
AMSTERDAM	moyenne	FIR grade 2 — atténuation / dégénérescence du muscle lisse vasculaire avec polynucléaires intramuraux quasi confluents	deja_couverte	oui	foeto_grades: COR-INF-003/004/005 grade 2	FIR Grade 2 — polynucléaires intramuraux quasi confluents avec atténuation du muscle lisse vasculaire	FIR Grade 2 — near-confluent intramural neutrophils with attenuation of vascular smooth muscle	inflammation aiguë sévère (réponse inflammatoire fœtale) avec atténuation/dégénérescence du muscle lisse	paroi des vaisseaux ombilicaux et/ou des vaisseaux de la plaque choriale	grade 2, sévère, quasi confluent, intramural, réponse inflammatoire fœtale	intramural quasi confluent, circonférentiel ou segmentaire selon les vaisseaux atteints	pattern	Gradation (intensité) de la réponse inflammatoire fœtale, indépendante du stade : grade 1 = non sévère ; grade 2 = sévère, défini par des polynucléaires neutrophiles intramuraux quasi confluents dans la paroi d'un vaisseau ombilical ou chorial, associés à une atténuation (perte/dégénérescence) du muscle lisse vasculaire. À distinguer du stade 3 (funisite nécrosante : bandes de polynucléaires dégénérés et débris cellulaires en arcs concentriques autour des vaisseaux, parfois calcifiés).	amsterdam ch1	Grade 2—severe: near-confluent intramural polymorphonuclear leukocytes with attenuation of vascular smooth muscle	Grade, pas entité : le critère de sévérité est porté par foeto_grades sur chaque terme de stade de la FIR. Réécrit sur le texte d'Amsterdam le 2026-08-06.
AMSTERDAM	basse	Thrombus non occlusifs (critère de FVM globale)	confirmee	oui		Thrombus non occlusif des vaisseaux fœtaux placentaires	Non-occlusive thrombus of fetal placental vessels	thrombose non occlusive	vaisseaux fœtaux de la plaque choriale et des villosités tronculaires	non occlusif, obstruction partielle ou intermittente, artériel ou veineux, intramural / subendothélial, avec ou sans calcification	focal à multifocal, pouvant être disséminé (contribue au pattern global de FVM)	element	Thrombus adhérent à la paroi d'un vaisseau fœtal (plaque choriale ou villosité tronculaire) laissant persister une lumière perméable : stase sanguine, cohésion érythrocytaire, hémolyse et coagulation fibrineuse partielle, coussinet fibrineux intimal / dépôt subendothélial ou intramusculaire, avec ou sans calcification ; limite nette possible avec le caillot frais adjacent. Sur pièce macroscopique, le thrombus paraît distendre le vaisseau. Sa reconnaissance participe au pattern global de FVM (débit ombilical partiellement obstrué) et à la gradation : ≥ 2 thrombus occlusifs ou non occlusifs de la plaque choriale ou des villosités tronculaires, ou de multiples thrombus non occlusifs, définissent une FVM de haut grade.	vogel ch6	Fig. 6.6: Non occlusive thrombus in a stem villus vessel (very early stage) with stasis of the blood,  erythrocyte cohesion, hemolysis and partial fibrin coagulation.	Le thrombus non occlusif est explicitement décrit et compté comme critère de FVM (obstruction partielle/intermittente, et ≥ 2 thrombus occlusifs ou non occlusifs pour le haut grade). Aucun terme du vocabulaire ne porte ce caractère non occlusif : les termes existants qualifient l'ancienneté (récent, organisé, calcifié) ou le calibre, pas le degré d'occlusion.
AMSTERDAM	basse	Placentation extrachoriale (chapeau)	confirmee	oui		Placentation extrachoriale	Extrachorial placentation	insertion anormale des membranes en dedans du bord du disque, avec parenchyme villositaire s'étendant au-delà de la plaque choriale	insertion des membranes extraplacentaires / marge du disque placentaire	circummarginée, circumvallée, partielle, complète	circonférentiel partiel ou complet à la marge du disque	entite	Les membranes quittent la plaque choriale en dedans de la circonférence du disque, la plaque choriale étant plus petite que la plaque basale, avec du parenchyme villositaire « nu » débordant au-delà du point de rencontre plaque choriale/membranes. Jonction plane = circummarginée ; bourrelet surélevé avec repli des membranes vers l'intérieur et anneau fibrineux palpable = circumvallée. Fibrine marginale jaune-brun et hématomes anciens/récents fréquents ; intérêt diagnostique : reconnaissance d'un décollement chronique.	khong2019 ch2	Insertion of the membranes inside the circumference of the placenta is termed extrachorial placentation. In circummarginate insertion, the junction between chorionic plate and membranes is flat.	Les extraits (Khong 2019 ch2, Benirschke ch15) définissent explicitement la « placentation extrachoriale » comme catégorie englobante dont les formes circummarginée et circumvallée sont les deux variantes ; le vocabulaire ne contient que les deux variantes, sans le terme chapeau.
AMSTERDAM	basse	VUE — distribution focale / multifocale / diffuse	deja_couverte	oui	VUE Low grade / VUE High grade									amsterdam ch1	as multifocal when they are present in more than one slide, all foci affecting fewer than 10 contiguous villi. High-grade lesions should be further classiﬁed as patchy when there are multiple foci	Focal/multifocal et patchy/diffus ne sont pas une entité mais les modalités de distribution qui définissent précisément les deux grades d'Amsterdam : le bas grade est par définition focal/multifocal (< 10 villosités contiguës) et le haut grade patchy/diffus. Ces qualificatifs sont donc intégrés aux termes « VUE Low grade » et « VUE High grade » déjà présents, et la topographie (parabasale/basale, médioparenchymateuse, sous-choriale) est un descripteur de localisation, non une entité nosologique distincte.
BENIRSCHKE	haute	Môle hydatiforme complète	confirmee	oui		Môle hydatiforme complète	Complete hydatidiform mole	prolifération trophoblastique avec transformation hydropique villositaire diffuse	villosités choriales / trophoblaste	citernes villositaires, avasculaire, hyperplasie trophoblastique circonférentielle, p57kip2 négatif, androgénétique diploïde	diffus (toutes les villosités)	entite	Placenta diffusément œdémateux et augmenté de volume, avec villosités macroscopiquement élargies en grappes contenant des cavités liquidiennes de type citerne ; prolifération trophoblastique pouvant être floride, de disposition concentrique (à distinguer de l'hyperplasie « excentrique » des colonnes trophoblastiques d'une gestation aneuploïde) ; absence habituelle de vaisseaux fœtaux (des structures vasculaires et parfois des hématies nucléées peuvent être décelées, notamment par CD34) ; villosités reliées entre elles par de fins tractus conjonctifs (anciennes villosités-troncs) ; thrombi intervilleux fréquents ; absence d'embryon ou de cavité chorionique dans la règle. Toutes les villosités sont atteintes (par opposition à la môle partielle où villosités normales et œdémateuses sont mêlées). Dans les formes précoces, l'œdème et la prolifération trophoblastique sont moins marqués et le diagnostic différentiel se pose avec l'avortement hydropique : l'immunomarquage p57KIP2 (perte d'expression) tranche.	benirschke ch28	Complete hydatidiform moles, in their classic second trimester presentation, are characterized by massive fluid accumulation within the villous parenchyma; this fluid characteristically leads to the formation of cyst-like structures or cisternae within the villi, and trophoblastic proliferation may be florid.	Le chapitre 28 de Benirschke décrit la môle hydatiforme complète comme une entité nosologique à part entière (villosités diffusément œdémateuses, citernes, prolifération trophoblastique, absence de vaisseaux fœtaux). Le vocabulaire ne contient que des éléments constitutifs isolés (hyperplasie trophoblastique, citerne villeuse, perte de p57kip2) sans entité chapeau.
BENIRSCHKE	haute	Môle hydatiforme partielle	confirmee	oui		Môle hydatiforme partielle	Partial hydatidiform mole	maladie trophoblastique gestationnelle avec œdème villositaire et hyperplasie trophoblastique focale	villosités choriales	triploïdie (diandrique), population villositaire dimorphe, citernes villositaires, hyperplasie trophoblastique focale, pseudo-inclusions trophoblastiques, contours villositaires irréguliers/festonnés, p57kip2 conservé dans le cytotrophoblaste et le stroma villositaire, fœtus/tissu fœtal présent	focal — mélange de villosités hydropiques et de villosités d'aspect normal (dimorphisme)	entite	Population villositaire dimorphe : villosités hydropiques élargies avec citernes, contours irréguliers et pseudo-inclusions trophoblastiques, admixtes à des villosités de taille normale, souvent vascularisées ; œdème et prolifération trophoblastique moins marqués que dans la môle complète, hyperplasie trophoblastique seulement focale ; présence habituelle de tissus fœtaux/embryon (fœtus triploïde non viable) ; p57kip2 reste exprimé (contrairement à la môle complète), génotypage montrant une triploïdie diandrique. Le diagnostic est difficile en histologie seule, surtout au premier trimestre, et requiert souvent immunohistochimie et génotypage.	benirschke ch28	When “normal” villi are admixed with these edematous villi, often with less edema and trophoblast proliferation, and usually with evidence of the existence of a fetus, then the process is called a “partial” mole.	Le vocabulaire contient les éléments élémentaires (pseudo-inclusions trophoblastiques, expression de p57kip2, citerne villeuse, hyperplasie trophoblastique) mais aucun terme ne désigne le diagnostic de môle hydatiforme partielle, entité explicitement traitée par Benirschke ch28 (référentiel BENIRSCHKE, tumeurs / maladies trophoblastiques gestationnelles).
BENIRSCHKE	haute	Placentite / villite syphilitique (Treponema pallidum)	confirmee	oui		Placentite / villite syphilitique (Treponema pallidum)	Syphilitic placentitis / villitis (Treponema pallidum)	villite chronique infectieuse avec endovasculite proliférative	villosités choriales, villosités souches, plaque choriale, cordon ombilical, décidue	étiologie identifiée, Treponema pallidum, histiocytaire, lymphoplasmocytaire, endangéite oblitérante, funiculite nécrosante, Warthin-Starry / IHC / PCR positifs	diffus, avec placentomégalie pâle	entite	Macroscopie : placenta massivement augmenté de volume et pâle, parfois hydrops placentae. Histologie (triade) : villosités choriales élargies et hypercellulaires par infiltrat mononucléé à prédominance histiocytaire (CD68+), avec infiltrat lymphoplasmocytaire villositaire et décidual ; modifications vasculaires fœtales prolifératives — endovasculite/endangéite oblitérante des villosités souches et de la plaque choriale avec sclérose concentrique périvasculaire, rétrécissement, occlusion thrombotique ou recanalisation luminale ; villite aiguë ou chronique, avec dans les formes sévères abcès ou nécrose villositaire (granulomes rares). Fréquemment : funiculite nécrosante et vascularite, exsudat inflammatoire nécrosant périvasculaire pouvant se calcifier, arrêt/retard de maturation villositaire à stroma cellulaire. Aucun signe pathognomonique : confirmation par mise en évidence des spirochètes (Warthin-Starry, immunohistochimie anti-Treponema pallidum, PCR), le cordon ombilical étant le site le plus rentable.	vogel ch9	Congenital Syphilis is caused by Treponema pallidum. The three clinically infectious	Les extraits de Khong 2019 (ch29) et Vogel ch9 décrivent la villite/placentite syphilitique comme entité étiologique propre (triade histologique, endovasculite proliférative, funiculite nécrosante, mise en évidence de Treponema pallidum). Aucun terme du vocabulaire ne nomme la syphilis, alors que CMV, toxoplasmose, listériose, parvovirus et HSV le sont.
