referentiel	importance	entite	raison
AMSTERDAM	basse	Placentation extrachoriale (chapeau)	Les deux variantes sont présentes (« Placenta circumvallé », « Placenta circummarginal ») mais le terme chapeau qui les regroupe dans Amsterdam n'existe pas — inverse de la lacune habituelle.
AMSTERDAM	basse	VUE — distribution focale / multifocale / diffuse	Seuls « VUE Low grade » et « VUE High grade » figurent au vocabulaire ; les qualificatifs de distribution qu'Amsterdam associe à chaque grade (focale/multifocale pour le bas grade, multifocale/diffuse pour le haut grade) n'ont aucun terme, ni la villite basale distinguée en tant que patron topographique gradé (« Villite basale chronique » existe mais sans gradation).
BENIRSCHKE	haute	Môle hydatiforme complète	Aucun terme du vocabulaire ne nomme la môle hydatiforme complète. Seuls des éléments constitutifs isolés existent (« Hyperplasie trophoblastique », « Perte d'expression de p57kip2 dans le stroma villositaire », « Villosité hydropique diffuse sans vascularisation », « Citerne villeuse ») sans entité chapeau ; « môle de Breus » désigne une thrombose sous-choriale, sans rapport.
BENIRSCHKE	haute	Môle hydatiforme partielle	Absente également : le vocabulaire contient « Rétention trophoblastique de l'expression de p57kip2 », « Pseudo-inclusion trophoblastique », « Absence de pseudo-inclusions trophoblastiques » — c'est-à-dire les critères de la môle partielle — mais jamais le diagnostic lui-même.
BENIRSCHKE	haute	Placentite / villite syphilitique (Treponema pallidum)	Toutes les autres villites à étiologie identifiée du référentiel sont représentées (CMV, toxoplasmose, listériose, parvovirus B19, HSV) mais aucun terme ne nomme la syphilis ; « Villite chronique lympho-plasmocytaire », « Placentite hématogène » et « Villosités agrandies avec paucité vasculaire relative » restent non étiquetés, sans l'endartérite proliférative ni le diagnostic syphilitique.
BENIRSCHKE	haute	Placentite palustre (intervillite à Plasmodium, pigment malarique / hémozoïne)	Le paludisme est nommément listé au référentiel. Aucun terme du vocabulaire ne mentionne le paludisme, l'hémozoïne ni les hématies parasitées intervilleuses ; « Intervillosite chronique histiocytaire » est l'entité idiopathique, pas la forme palustre.
BENIRSCHKE	haute	Placentite à SARS-CoV-2 (nécrose trophoblastique + intervillite histiocytaire + fibrine périvillositaire)	Étiologie nommée par le référentiel et absente du vocabulaire : ni « SARS-CoV-2 » ni la triade caractéristique associée ; seuls existent séparément « Intervillosite chronique histiocytaire », « Nécrose primaire du cytotrophoblaste » et « Dépôt massif de fibrinoïde périvillositaire », sans entité de rattachement.
BENIRSCHKE	moyenne	Tumeur trophoblastique du site d'implantation (PSTT)	Explicitement citée par le référentiel. Le vocabulaire n'a que « Augmentation des cellules trophoblastiques géantes du site d'implantation » et « Lit placentaire (site placentaire) » (structure normale), aucune entité tumorale du site d'implantation.
BENIRSCHKE	moyenne	Métastases placentaires maternelles (mélanome, carcinome) et fœtales	Couverture seulement descriptive et partielle : « Cellules tumorales non hématopoïétiques dans la circulation fœtale placentaire » et « Cellules anormales dans l'espace intervillositaire ». Aucune entité « métastase placentaire » ni distinction maternelle / fœtale.
BENIRSCHKE	moyenne	Triploïdie (phénotype placentaire)	Le chapitre « anomalies chromosomiques » du référentiel n'a aucun équivalent dans le vocabulaire : ni triploïdie, ni trisomie, ni aucun terme désignant un phénotype placentaire chromosomique (villosités hydropiques focales avec inclusions trophoblastiques et p57 conservé).
BENIRSCHKE	moyenne	Mosaïcisme confiné au placenta	Entité nommée du référentiel, totalement absente du vocabulaire (aucun terme de discordance cyto-génétique placento-fœtale ; les seules « discordances » codées sont gémellaires).
BENIRSCHKE	moyenne	Placenta des mucopolysaccharidoses et de la sialidose (vacuolisation lysosomale étiquetée)	Couverture partielle : la maladie de Gaucher est nommée (« Infiltrat de cellules de Gaucher dans le stroma villositaire ») et les vacuolisations sont abondamment décrites par compartiment, mais aucune entité nommée pour les mucopolysaccharidoses ni la sialidose, pourtant citées par le référentiel.
BENIRSCHKE	basse	Nodules de Langhans (plaque choriale, anatomie normale)	Le vocabulaire ne code que la couche fibrinoïde (« Strie fibrinoïde de Langhans », « Fibrine sous-choriale (fibrine de Langhans) ») et le cytotrophoblaste de Langhans ; le nodule lui-même, cité comme repère anatomique normal, n'existe pas.
GEMELLAIRE	haute	Syndrome transfuseur-transfusé (STT/TTTS) — entité diagnostique	Le vocabulaire ne contient AUCUN terme d'entité « syndrome transfuseur-transfusé / TTTS ». Le sigle n'apparaît qu'en qualificatif de deux éléments microscopiques (« Capillaires villositaires congestifs (jumeau receveur, TTTS) », « Capillaires villositaires vides (jumeau donneur, TTTS) »). L'entité chapeau, sous laquelle se rangent ces signes, est absente, alors que l'homologue anémie-polycythémie (TAPS) existe bien comme pattern.
GEMELLAIRE	haute	Stades I à V de Quintero (gradation du TTTS)	Aucun terme de stadification de Quintero (stade I à V) dans le vocabulaire, alors que d'autres gradations sont finement déclinées (MIR/FIR stades et grades, VUE high/low grade, FVM high/low grade, abruptio stades 1-2, NIDF îlots/travées).
GEMELLAIRE	haute	Stadification TAPS (Slaghekke) : stades anténatals 1-5 et stades post-nataux 1-4 fondés sur le ratio de diamètre des anastomoses	Le vocabulaire n'a que « Séquence anémie-polycythémie gémellaire (TAPS) — aspect placentaire » (pattern global). Aucun terme pour les stades, ni pour le critère post-natal clé du diagnostic anatomopathologique : ratio / calibre des anastomoses (p. ex. anastomose AV de petit calibre < 1 mm, absence d'anastomose artério-artérielle), qui est le seul élément que le fœtopathologiste peut coder.
GEMELLAIRE	haute	Jumeau acardiaque / séquence TRAP (twin reversed arterial perfusion)	Entité explicitement nommée dans le référentiel et totalement absente du vocabulaire : ni « jumeau acardiaque », ni « acardius », ni « séquence TRAP », ni « perfusion artérielle inversée ». Le vocabulaire ne dispose que de « Placenta fœtus papyraceus (portion infarcte) », qui désigne une entité différente (jumeau décédé macéré).
GEMELLAIRE	haute	Transfusion fœto-fœtale aiguë (péri-partum, jumeau pâle / jumeau pléthorique)	Explicitement listée au référentiel et absente. Le vocabulaire contient des signes non spécifiques (« Discordance de coloration du parenchyme placentaire (jumeaux monochorioniques) », « Plétore placentaire », « Pâleur villositaire diffuse ») mais aucun terme d'entité pour la transfusion aiguë intergémellaire, à distinguer du TTTS chronique et du TAPS.
GEMELLAIRE	moyenne	Partage placentaire inégal / discordance de territoire placentaire entre jumeaux (Lewi, Khalil)	Le vocabulaire décrit l'« Équateur vasculaire placentaire (jumeaux monochorioniques) » et le « Cotylédon partagé », mais aucun terme n'exprime le partage inégal des territoires (discordance de surface/poids placentaire attribué à chaque jumeau), déterminant majeur du RCIU sélectif en monochorionique. « Rapport poids placentaire / poids fœtal » est un terme non gémellaire.
GEMELLAIRE	moyenne	RCIU sélectif du jumeau monochorionique (sIUGR, types I-III de Gratacós)	Aucun terme ne couvre cette entité gémellaire spécifique ni sa typologie fondée sur le pattern anastomotique (présence/absence d'anastomose AA de gros calibre), pourtant partie intégrante de la classification Lewi/Khalil de la pathologie monochorionique.
GEMELLAIRE	moyenne	Enchevêtrement / nœud des cordons ombilicaux (jumeaux monoamniotiques)	Le vocabulaire couvre les architectures monoamniotiques (« Placenta monochorionique monoamniotique », « Plica amniotique vestigiale (placenta MoMo) », « Cordon ombilical bifurqué (jumeaux MoMo) ») et le « Nœud vrai » n'existe même que côté Amsterdam pour un cordon unique ; aucun terme pour l'enchevêtrement inter-cordons, complication caractéristique du MoMo.
GEMELLAIRE	basse	Détermination de la chorionicité sur la membrane de séparation — nombre de couches / présence de trophoblaste interposé (critère diagnostique)	Lacune partielle : le vocabulaire nomme les membranes de séparation DiDi/DiMo, bichoriale-biamniote et monochoriale-diamniote, mais aucun terme n'exprime le critère histologique de la détermination (couche chorionique interposée / trophoblaste résiduel entre les deux amnios, épaisseur/nombre de couches), ni le cas discordant (chorionicité indéterminée après fusion).
REDLINE	haute	MIR grade 2 — réponse inflammatoire maternelle sévère (polynucléaires confluents, ≥ 3 foyers)	Le vocabulaire contient « MIR Grade 1 » et « MIR Grade 1 — Abcès décidual », ainsi que les trois stades MIR (chorionite subchoriale, chorioamnionite aiguë, chorioamnionite nécrosante), mais aucun terme ne code le grade 2 de la réponse maternelle. La gradation est donc tronquée : un seul des deux grades existe.
REDLINE	moyenne	Microabcès sous-chorionique (critère de sévérité du MIR grade 2)	Le vocabulaire ne possède que « Microabcès sous-amniotiques du cordon (Candida) » et « Abcès décidual » ; le microabcès sous-chorial, critère morphologique définissant le grade 2 de la réponse inflammatoire maternelle, est absent.
REDLINE	moyenne	VUE haut grade — variante multifocale (patchy) vs variante diffuse	Le vocabulaire s'arrête à « VUE High grade » ; la sous-catégorisation Redline du haut grade en atteinte multifocale et atteinte diffuse (qui conditionne la corrélation avec récidive et RCIU) n'est représentée par aucun terme.
REDLINE	moyenne	VUE bas grade — variante focale vs variante multifocale	« VUE Low grade » existe seul ; la distinction Redline entre villite focale (un seul foyer) et multifocale au sein du bas grade est absente, alors que les qualificatifs « focal/multifocal » existent ailleurs dans le vocabulaire (chorangiose focale, septoïsation multifocale).
REDLINE	moyenne	Villite chronique tronculaire / des villosités souches (stem villitis)	Le vocabulaire code « Villite chronique », « Villite basale chronique » et la « Vasculopathie fœtale oblitérante », mais pas la localisation tronculaire de la villite elle-même (villite des villosités souches), variante de gradation/topographie explicitement individualisée par Redline.
REDLINE	moyenne	FIR grade 2 — polynucléaires intramuraux quasi confluents avec atténuation/dégénérescence du muscle lisse vasculaire	Couverture partielle et confuse : le seul terme disponible est « FIR Grade 2 — Funiculite nécrosante », qui superpose le grade 2 au stade 3. Le critère propre du grade 2 (atténuation du muscle lisse des vaisseaux ombilicaux/choriaux, sans nécrose) n'est codé par aucun élément.
REDLINE	basse	Gradation de sévérité de la MVM (bas grade / haut grade, étendue des lésions)	Toutes les lésions élémentaires de MVM sont présentes (artériopathie déciduale, infarctus, hypoplasie villositaire distale, maturation accélérée) mais aucun terme n'exprime la gradation d'ensemble de la malperfusion maternelle, alors que la FVM et la VUE disposent bien de leurs niveaux bas/haut grade.
VOGEL	haute	Arrêt de maturation villositaire (Reifungsarrest / maturation arrest)	Le vocabulaire contient « Maturation villositaire accélérée », « Maturation villositaire retardée / Retard de maturation villositaire », « Immaturité villositaire distale », mais aucun terme ne rend l'arrêt de maturation, entité distincte du simple retard dans la classification allemande (arbre villositaire figé à un stade immature intermédiaire, sans villosités terminales).
VOGEL	haute	Dissociation de maturation villositaire (maturation dissociée)	Aucun terme du vocabulaire ne couvre la dissociation entre maturation stromale/vasculaire et maturation trophoblastique (ex. villosités matures pour l'âge mais membranes vasculo-syncytiales absentes). Les seuls termes voisins (« Paucité des membranes vasculo-syncytiales », « Localisation centrale des capillaires villositaires ») sont des éléments isolés, pas l'entité de trouble de maturation.
VOGEL	haute	Maturation villositaire dysharmonieuse / hétérogène (maturation asynchrone au sein d'un même placenta)	Le vocabulaire n'a que « Discordance de maturité villositaire entre jumeaux monochorioniques », qui concerne deux placentas gémellaires, et non l'hétérogénéité de maturation entre zones/cotylédons d'un même placenta.
VOGEL	moyenne	Placenta de prééclampsie (corrélation clinico-pathologique hypertensive)	Les lésions élémentaires existent (artériopathie déciduale, athérose, infarctus, maturation accélérée, hypoplasie), mais aucun terme de synthèse clinico-pathologique rattachant le pattern à la pathologie hypertensive maternelle, alors que c'est le cœur du périmètre VOGEL.
VOGEL	moyenne	Placentopathie diabétique (pattern placentaire du diabète maternel)	Le vocabulaire ne contient que des éléments isolés (« Épaississement de l'épithélium amniotique (diabète maternel) », « Épaississement de la membrane basale trophoblastique », « Chorangiose », « Villosités intermédiaires immatures ») sans l'entité chapeau de pattern diabétique (placentomégalie + immaturité villositaire + chorangiose + épaississement des membranes basales).
VOGEL	moyenne	Pattern placentaire du RCIU (placenta de restriction de croissance)	« Hypoplasie placentaire », « Rapport poids placentaire / poids fœtal » et « Hypoplasie villositaire distale » existent, mais aucune entité de corrélation clinico-pathologique désignant le placenta du RCIU comme tel.
VOGEL	moyenne	Placenta de grossesse prolongée / post-terme (hypermaturité placentaire)	Seule « Sénescence placentaire (trophoblastique) » approche la notion ; il manque l'entité de placenta post-terme (dysmaturité, calcifications excessives, nœuds syncytiaux, fibrinoïde augmenté) explicitement rattachée au terme dépassé.
VOGEL	basse	Pattern placentaire du tabagisme maternel	Aucun terme du vocabulaire ne mentionne le tabac ni ses corrélats placentaires (épaississement de la membrane basale trophoblastique attribué au tabac, hypoplasie, maturation accélérée), alors que la corrélation est listée dans VOGEL.
